Source String,Target String,Predicted String
vithananni,విత్తనాన్ని,వితానన్ని
prayaanikulu,ప్రయాణికులు,ప్రయాణికులు
hassan,హసన్,హస్సన్
pakshala,పక్షాల,పక్షల
goutham,గౌతమ్,గౌతం
puraanamulanu,పురాణములను,పురాణములను
union,యూనియన్,అూనిన్
medassu,మేధస్సు,మెదస్సు
kuantum,క్వాంటమ్,కుఅంతుం
aakaashaannayinaa,ఆకాశాన్నయినా,ఆకాశాన్నయినా
naats,నాట్స్,నాట్స్
jaavaed,జావేద్,జావేడ్
powell,పావెల్,పోవెల్
deshamunaku,దేశమునకు,దేశమునకు
dublin,డుబ్లిన్,డబ్లిన్
cholera,కలరా,చోలేరా
vatakara,వడగర,వాకరర
silva,సిల్వా,సిల్వ
patter,పాటర్,పట్టెర్
praatipadikapai,ప్రాతిపదికపై,ప్రాతిపడికపై
vishveshvarudini,విశ్వేశ్వరుడిని,విశ్వేశ్వరుడిని
astraalanu,అస్త్రాలను,అస్త్రాలను
bhagamgaanay,భాగంగానే,భగగగానయ్
lingamunu,లింగమును,లింగమును
linde,లిండే,లిండే
saavadhaanangaa,సావధానంగా,సావధానంగా
entaravutunnaaro,ఎంటరవుతున్నారో,ఎంతరవుతున్నారో
under,అండర్,అండర్ర్
gurtinchukovatam,గుర్తించుకోవటం,గుర్తించుకోవటం
pomdaali,పొందాలి,పొందాలి
vinoba,వినోబా,వినోబ
kukreja,కుక్రేజా,కుక్రేజా
jonesboro,జోన్స్బొరో,జోనెస్బోరో
chadhuvuthunnaaru,చదువుతున్నారు,చధువుతున్నారు
adyakshathana,అధ్యక్షతన,అద్యక్షతన
ankela,అంకెల,అంకెలాలా
parishkarinchukonnaaru,పరిష్కరించుకొన్నారు,పరిష్కరించుకొన్నారు
oneday,వన్డే,ఒనేదాయ్
sabhyuni,సభ్యుని,సభ్యుని
nirdhaarinchadam,నిర్ధారించడం,నిర్ధారించడం
kisaan,కిసాన్,కిసాన్
vivaranalo,వివరణలో,వివరణలో
statistics,స్టాటిస్టిక్స్,స్టేటిస్టిక్స్
ksheytraaniki,క్షేత్రానికి,క్షేత్త్రనిికి
ananthapuramlo,అనంతపురంలో,అనంతపురంలో
bowie,బోవీ,బోవీ
das,దాస్,డాస్స్
guests,గెస్ట్స్,గ్యూస్ట్
ayina,ఆయిన,అయిన
bhojanaala,భోజనాల,భోజనాల
pandaka,పండక,పంంక
aamodhinchina,ఆమోదించిన,ఆమోధించిన
lakshmiprasanna,లక్ష్మిప్రసన్న,లక్ష్మీప్రసన్న
konaallo,కోణాల్లో,కొనాల్లో
neenantee,నేనంటే,నీనంటే
nuthilo,నూతిలో,నుతిలో
charchinchindhi,చర్చించింది,చర్చించింది
rakshinchharu,రక్షించారు,రక్షించారు
punaruddharinchi,పునరుద్ధరించి,పునరుద్ధరించి
atman,ఆత్మ,అత్మాన్
aunu,ఔను,ఔను
kunna,కున్న,కున్నా
cheyalekapotunnaadu,చేయలేకపోతున్నాడు,చేయలేకపోతున్నాడు
nanwani,నన్వని,నన్వానీ
tegullu,తెగుళ్లు,తెగుల్లు
gynecologist,గైనకాలజిస్ట్,జిన్కోలజిస్టట్
pasupuleti,పసుపులేటి,పసుపులేటి
madona,మడోన్నా,మదోన
nishedhimchaledannaaru,నిషేధించలేదన్నారు,నిషేధించలేదన్నారు
meere,మీరె,మీరే
edigindi,ఎదిగింది,ఏదిగింది
saanghikamga,సాంఘికంగా,సాంఘికంగా
dekalb,డేకల్బ్,డెకాల్బ్
ispat,ఐస్పాట్,ఇస్పాత్
krushnarjunulu,కృష్ణార్జునులు,కృష్ణర్్జునులు
bhaagaalaina,భాగాలైన,భాగాలైన
therakekkuthondi,తెరకెక్కుతోంది,తేరకెక్కుతోంది
kachchaerii,కచ్చేరీ,కచ్చేరీ
novosellic,నోవోసెల్లిక్,నోవోసెల్లిక్
sira,సిరా,సిరా
santaanotpattiki,సంతానోత్పత్తికి,సంతానోత్పత్తికి
charithrakarula,చరిత్రకారులు,చరిత్రకరరుల
staem,స్టెమ్,స్టేమ్
grahaaniki,గ్రహానికి,గ్రహానికి
prakatinchukontunnaaru,ప్రకటించుకొంటున్నారు,ప్రకటించుకొంటున్నారు
hines,హైన్స్,హినెస్
gajaendhra,గజేంద్ర,గజజంం్ర
buchanan,బుచానన్,బుచ్నాన్
kottataadu,కొట్టతాడు,కొత్తతాడు
niraasaku,నిరాసకు,నిరాశకు
iddarni,ఇద్దర్ని,ఇద్దర్ని
maarchestaaranukunna,మార్చేస్తారనుకున్న,మార్చేస్తారనుకున్న
savaallu,సవాళ్లు,సవాళ్లు
pattina,పట్టిన,పట్టిన
bender,బెండర్,బెండర్
barai,బారై,బాై
prayojanakarangaa,ప్రయోజనకరంగా,ప్రయోజనకరంగా
undhannadi,ఉందన్నది,ఉంధన్ననిి
rivas,రివాస్,రివాస్
pramaanha,ప్రమాణ,ప్రమాణ
maarutunnaananii,మారుతున్నాననీ,మారుతున్నాననీ
ekkuvagaane,ఎక్కువగానే,ఎక్కువగానే
praveshapettabadindho,ప్రవేశపెట్టబడిందో,ప్రవేశపెట్టబడిందో
bulandshahr,బులంద్షహర్,బులంద్షార్
arhuraalani,అర్హురాలని,అర్హురాలని
castaneda,కాస్టనెడ,కాస్తానేదా
nruthyaaniki,నృత్యానికి,నృత్యానికి
dohadapade,దోహదపడే,దోహదపడే
dispur,దిస్పుర్,దిస్పుర్
ounu,ఔను,ఊను
vikki,విక్కీ,విక్కి
buttinchu,బుట్టించు,బుట్టించు
choosukovaalani,చూసుకోవాలని,చూసుకోవాలని
sikimdar,సికిందర్,సికిందర్
avataar,అవతార్,అవతార్
chotuchaesukuntaayi,చోటుచేసుకుంటాయి,చోటుచేసుకుంటాయి
cosamani,కోసమని,కోసమని
teesukuntaamani,తీసుకుంటామని,తీసుకుంటామని
angeekarinchi,అంగీకరించి,అంగీకరించి
castalloy,కాస్ట్అల్లాయ్,కాయాట్లల్లో
saakshyaalanu,సాక్ష్యాలను,సాక్ష్యాలను
vahinchina,వహించినా,వహించిన
jaataralo,జాతరలో,జాతరలో
deeshamunaku,దేశమునకు,దీశమునకు
dharmshala,ధర్మశాల,ధర్మ్షల
kaladi,కలదీ,కలది
eaton,ఎటన్,ఈటటనన్
pettukuntunnaare,పెట్టుకుంటున్నారే,పెట్టుకుంటున్నారే
whirlpool,వర్లపుల్,విర్ల్పూల్
nirdharinchadam,నిర్ధారించడం,నిర్ధరించడం
aasrayinchaaru,ఆశ్రయించారు,ఆశ్రయించారు
anoo,అనో,అనూ
sathyamuurthi,సత్యమూర్తి,సత్యమూర్తి
alwadhi,అల్వాధి,అల్వాధి
manro,మన్రో,మన్రో
tappinchukovadamlonoo,తప్పించుకోవడంలోనూ,తప్పించుకోవడంలోనూ
